;platform;email;password;last time changed;additional information;DSLC
0;pornhub;noname.com;stifflersMum;01-01-2023;don't show anyone;55
1;google;gmail.com;somepw;01-01-2022;nothing to say;420
2;yahoo;yahoo.de;otherpw;03-01-2021;more informatiuon;783
3;another platform;some.mail;noPWatall;01-01-2022;no information for display;420
4;Microsoft;outlook.com;passwoooord!;01-11-2022;ms sucks;120
5;Facebook;yahoo.de;gliberish;14-09-2022;some more info;167
6;and another one;bites the dust;not nan;14-09-2022;;167
7;changing;out;new;17-09-2022;things;164
8;new;entry;tosave;01-01-2022;bla bla;420
9;another;new;thing;01-01-2022;to send;420
10;bhjl;bhj;bhb;01-01-2022;bhjbh;420
11;Playstation Store;gamil.com;yourMum;26-02-2023;sucks balls;0
